date,grid_0,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8
05 Jul 14:00,0.609960707334,0.619568094569,0.616773277871,0.635355958127,0.665261746873,0.648734827922,0.705402711413,0.990518188153,0.752007554943
05 Jul 15:00,0.634204646961,0.645039160793,0.644338354772,0.656814773824,0.686295558315,0.677514144124,0.697660160737,0.988476670871,0.831992724666
05 Jul 16:00,0.572074339481,0.580520493406,0.584479842751,0.586030007574,0.609344977521,0.621704485737,0.612346408283,1.15985077873,1.11859859554
05 Jul 17:00,0.486869740481,0.492765639894,0.499451105728,0.495669494769,0.512057955945,0.528961506793,0.511264343521,0.656395544294,0.925740624621
05 Jul 18:00,0.420644133375,0.424633359458,0.433063758358,0.425582279984,0.433856798701,0.447467223103,0.435779009686,0.483157981388,0.714781786037
05 Jul 19:00,0.371894149026,0.373349288274,0.379739231898,0.372504030206,0.37480161359,0.383126040046,0.375698089509,0.385350398784,0.395095578734
05 Jul 20:00,0.310424793324,0.310552726519,0.315681038525,0.309075324919,0.308506706624,0.31488836392,0.308026767119,0.300788207092,0.313461611048
05 Jul 21:00,0.168708826253,0.167552746126,0.172897106106,0.166285213816,0.163853409509,0.170852784298,0.164500765084,0.151736317321,0.168803819825
05 Jul 22:00,-0.027481200231,-0.0286487890683,-0.0241999516279,-0.0294832899244,-0.0320207550914,-0.0259522756616,-0.0321205227943,-0.0462273237277,-0.028756205277
05 Jul 23:00,-0.248496489034,-0.249763236313,-0.246003321293,-0.250347064249,-0.253154256156,-0.247728100563,-0.253991463616,-0.269926261767,-0.251438547276
06 Jul 00:00,-0.464160484625,-0.46506197852,-0.462344530023,-0.465486063062,-0.467865648236,-0.463636995541,-0.469782189781,-0.485345437268,-0.467937638726
06 Jul 01:00,-0.646279327683,-0.646674739347,-0.644824863595,-0.647063766697,-0.648879700553,-0.645635718058,-0.652112700402,-0.667461288321,-0.650658842183
06 Jul 02:00,-0.82566674166,-0.825647717882,-0.824457346855,-0.826099901291,-0.827477790657,-0.82496399947,-0.831799494557,-0.847092102786,-0.830615087166
06 Jul 03:00,-1.01633635540,-1.01591577490,-1.01529283994,-1.01647943754,-1.01742897404,-1.01554571806,-1.02272742203,-1.03786415716,-1.02173131290
06 Jul 04:00,-1.17298783468,-1.17194662413,-1.17203748343,-1.17253307350,-1.17267129560,-1.17170130212,-1.17894406391,-1.19251133937,-1.17806506179
06 Jul 05:00,-1.21170512364,-1.20926484724,-1.21075352422,-1.20954686123,-1.20759131482,-1.20865645332,-1.21547140140,-1.22337879931,-1.21461420438
06 Jul 06:00,-1.09440908643,-1.09022719018,-1.09343644126,-1.08693523100,-1.08127630435,-1.08592120461,-1.08479409777,-1.06995835480,-1.08436553680
06 Jul 07:00,-0.694873052215,-0.688107484716,-0.693465390748,-0.683252765442,-0.673479873327,-0.681400088636,-0.678349028182,-0.650438413315,-0.677532880036
06 Jul 08:00,0.0359568986373,0.0449517589688,0.0374191866472,0.0527562303563,0.0661895978526,0.0543429749279,0.063652164243,0.105763407622,0.0610997586839
06 Jul 09:00,0.26506189639,0.270328139244,0.266255618139,0.281280686407,0.290657661295,0.281731597451,0.307166237388,0.356446112347,0.29659877602
06 Jul 10:00,0.323495370508,0.32708011362,0.324505578997,0.341308244282,0.34898812517,0.339910263375,0.388935624785,0.451412711788,0.362231900067
06 Jul 11:00,0.360299989796,0.364340814386,0.361603531959,0.381982533124,0.391271646303,0.379156582699,0.459182887118,0.551052271171,0.411646240909
06 Jul 12:00,0.420216443408,0.425527575097,0.42188297036,0.445162080151,0.459981950681,0.443522974719,0.545286160178,0.708061389048,0.490011941398
06 Jul 13:00,0.479499560431,0.487659317087,0.48379469673,0.506697850179,0.529038203277,0.510750195069,0.607114087352,0.844590427176,0.580679331327
06 Jul 14:00,0.484510683062,0.4939602187,0.492709274503,0.510476319749,0.541150097602,0.525744635664,0.586876991928,0.892234216738,0.637444393723
06 Jul 15:00,0.458904240015,0.468344567051,0.47060375923,0.480742401481,0.5111249112,0.506243768792,0.529695477092,0.836257183248,0.663378473037
06 Jul 16:00,0.405356979172,0.412832910371,0.418932100401,0.41954759993,0.444149470575,0.455450720474,0.45173121215,0.810252915732,0.732960129515
06 Jul 17:00,0.324127664784,0.329283446516,0.337243821382,0.332706658293,0.348690895049,0.364176503827,0.352894334712,0.495216020825,0.550725271071
06 Jul 18:00,0.282008898557,0.286144730945,0.294447083058,0.287207338716,0.296486486955,0.310142475978,0.299222346528,0.359064738127,0.510444410117
06 Jul 19:00,0.223438360452,0.225200667969,0.232448207676,0.223204288503,0.225824002489,0.235411886844,0.226436116662,0.237846955795,0.249011149097
06 Jul 20:00,0.162935534883,0.162929894453,0.169735670802,0.159911967889,0.158935934734,0.16741889154,0.158660343539,0.150544503079,0.165700454054
06 Jul 21:00,-0.00678706917317,-0.00811418003113,-0.000890161176368,-0.0111121955144,-0.0140479027691,-0.0046752460178,-0.013128221076,-0.0271019412423,-0.00705466556973
06 Jul 22:00,-0.229372612876,-0.230281535685,-0.22428598118,-0.232938739496,-0.235442115631,-0.227431258176,-0.23589162668,-0.250303430431,-0.230675022926
06 Jul 23:00,-0.372575742668,-0.372858549513,-0.368172741243,-0.375107324058,-0.376806145961,-0.370366397264,-0.378715897402,-0.392172362771,-0.374221232759
07 Jul 00:00,-0.466085346748,-0.465848390668,-0.462213643087,-0.467746862403,-0.468740554887,-0.463594807416,-0.471772863175,-0.484076314903,-0.467836401341
07 Jul 01:00,-0.589071479024,-0.588764552419,-0.585833348192,-0.590431357509,-0.591321693687,-0.586990604496,-0.594805965433,-0.606961357683,-0.591520079135
07 Jul 02:00,-0.759216031616,-0.758907428908,-0.756342051325,-0.76056905773,-0.761541936755,-0.757554246696,-0.765437819248,-0.778347310686,-0.762530952912
07 Jul 03:00,-0.892357009524,-0.891583115549,-0.889723276385,-0.893231929891,-0.893642535684,-0.890493482555,-0.898501516896,-0.910727202025,-0.895860091501
07 Jul 04:00,-1.00524318601,-1.00407747025,-1.00278999666,-1.00574637370,-1.00569159012,-1.00321752205,-1.01139325123,-1.02310904419,-1.00895253760
07 Jul 05:00,-1.09387523403,-1.09182677794,-1.09151990097,-1.09320864207,-1.09175596087,-1.09074082035,-1.09824901731,-1.10557671801,-1.09591918226
